Institusi,Halaman Terdeface,Attacker,H,M,R,Lokasi,Kejadian,Arsip,OS
,"bkpp.mahakamulukab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050401,
,"asmara.mahakamulukab.go.id/rea...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050400,
,"sid.mahakamulukab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050399,
,"sandbox.mahakamulukab.go.id/re...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050398,
,"portal.mahakamulukab.go.id/rea...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050397,
,"ortala.mahakamulukab.go.id/rea...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050396,
,"mikrotik.mahakamulukab.go.id/r...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050395,
,"dpmk.mahakamulukab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050394,
,"hard.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048493,
,"guru.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048492,
,"gmail.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048491,
,"g-vrub.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048490,
,"g-mail.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048489,
,"free.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048488,
,"ejurnal.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048487,
,"e-learning.kejari-pandeglang.g...
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048486,
,"e-jurnale.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048485,
,"e-cbt.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048484,
,"dprd-jateng.kejari-pandeglang....
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048483,
,"dprd-jabarprov.kejari-pandegla...
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048482,
,"dprd.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048481,
,"dmots.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048480,
,"demo22.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048479,
,"demo21.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048478,
,"deg.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048477,
,"customer.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048476,
,"buten.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048475,
,"bloger.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048474,
,"blog.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048473,
,"bisrun.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048472,
,"aldm.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048471,
,"adm.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048470,
,"absen.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048469,
,"abseku.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048468,
,"kab.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048467,
,"badan.kejari-pandeglang.go.id
							",RzkyO,H,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35048466,
,"cilacap.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051346,
,"pekalongan.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051336,
,"brebes.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051339,
,"pemalang.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051334,
,"kendal.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051333,
,"kudus.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051332,
,"kotategal.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051331,
,"sragen.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051328,
,"rembang.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051321,
,"tegal.kemenag.go.id
							",U ~ Senpai,H,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051326,
,"demak.kemenag.go.id
							",U ~ Senpai,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051337,
,"mahakamulukab.go.id/readme.htm
							",Mr.L3RB1,,,R,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-19,www.zone-h.org/mirror/id/35050393,
,"dprd-bengkuluutarakab.go.id/re...
							",Hadii6666h0$T,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35049671,
,"esign.jembranakab.go.id/docume...
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35049557,
,"www.jdih.dprd-pesisirbaratkab....
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35049320,
,"jdihdprd.kepahiangkab.go.id/re...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35048834,
,"biropem.kalteng.go.id/read.txt
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35044433,
,"dev-bee.tegalkota.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35043580,
,"bee.tegalkota.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35043578,
,"sekretariat.dprd-pesisirbaratk...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35049319,
,"tester.dprd-babelprov.go.id/re...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35048821,
,"www.jdih.dprd-babelprov.go.id/...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35048820,
,"bappeda.kepahiangkab.go.id/ass...
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35049172,
,"bappeda.lomboktengahkab.go.id/...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047732,
,"bappenda.lomboktengahkab.go.id...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047731,
,"bpbd.lomboktengahkab.go.id/ass...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047730,
,"dispora.lomboktengahkab.go.id/...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047729,
,"dpmd.lomboktengahkab.go.id/ass...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047728,
,"humas.lomboktengahkab.go.id/as...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047727,
,"dp3kb.lomboktengahkab.go.id/as...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047726,
,"bakesbangpoldagri.lomboktengah...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047725,
,"nakertrans.lomboktengahkab.go....
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047712,
,"pariwisata.lomboktengahkab.go....
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047709,
,"dinsos.lomboktengahkab.go.id/a...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047706,
,"pertanian.lomboktengahkab.go.i...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047703,
,"ketapang.lomboktengahkab.go.id...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047702,
,"satpolpp.lomboktengahkab.go.id...
							",Mr.L3RB1,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047701,
,"dpupr.lomboktengahkab.go.id/as...
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35047698,
,"kuis.kpu-tangerangkab.go.id/40...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040150,
,"rumahpintar.kpu-tangerangkab.g...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040149,
,"rpp.kpu-tangerangkab.go.id/407...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040148,
,"aplikasi.kpu-tangerangkab.go.i...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040147,
,"loginform.siproh.kpu-tangerang...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040146,
,"www.siproh.kpu-tangerangkab.go...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040145,
,"www.ppid.kpu-tangerangkab.go.i...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040144,
,"pdpb.kpu-tangerangkab.go.id/40...
							",./KeyzNet,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35040143,
,"www.dprd-pesisirbaratkab.go.id...
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-18,www.zone-h.org/mirror/id/35049318,
,"dprd-babelprov.go.id/readme.htm
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-17,www.zone-h.org/mirror/id/35048822,
,"kejari-pandeglang.go.id
							",RzkyO,H,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-17,www.zone-h.org/mirror/id/35048463,
